"","Player_Name_Compact","Team","City","Game_Started","Games_Played","Minutes","Points","Two_Point_Made","Two_Point_Attempted","Two_Point_Percentage","Three_Point_Made","Three_Point_Attempted","Three_Point_Percentage","Free_Throws_Made","Free_Throws_Attempted","Free_Throws_Percentage","Defensive_Rebounds","Offensive_Rebounds","Total_Rebounds","Turnovers","Steals","Blocks_against","Blocks","Assists","Personal_Fouls","Personal_Fouls_Drawn","Efficiency"
"366","Rulli G.","ARCISATE (*)","ARC (*)","30","29","861","321","121","238","51","9","55","16","52","101","51","89","21","110","98","55","16","5","93","83","116","291"
"367","Ruoti J.","P. MILANO","MIP","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"368","Rusconi M.","CALOLZIOCORTE","CAL","28","28","406","122","37","76","49","12","31","39","12","19","63","59","17","76","24","11","1","6","18","60","19","102"
"369","Sacca R.","P. MILANO","MIP","19","19","340","116","43","111","39","5","17","29","15","22","68","21","16","37","22","16","3","2","20","22","21","78"
"370","Sacchetti A.","P. MILANO","MIP","18","8","35","8","2","9","22","1","4","25","1","2","50","1","2","3","1","1","2","","","7","1","-8"
"371","Sacchetti A.","AGRATE CAN.","AGR","9","7","39","6","3","3","100","","","","","","","3","1","4","3","1","","","","9","","-1"
"372","Saibene N.","CIS. CISLAGO","CIS","30","30","583","79","21","56","38","2","13","15","31","47","66","41","13","54","24","16","3","","26","76","61","71"
"373","Sala N.","BERNAREGGIO","BER","1","0","","0","","","","","","","","","","","","","","","","","","","",""
"374","Sala M.","CERMENATE (*)","CER (*)","22","2","4","0","","","","0","1","0","","","","","","","1","1","","","1","1","1",""
"375","Sango F.","LIERNA","LIE","20","20","628","393","86","176","49","56","158","35","53","58","91","86","35","121","48","19","9","4","34","57","48","308"
"376","Sanlorenzo V.","PAVIA B.","PVB","28","26","567","238","94","197","48","5","23","22","35","42","83","83","38","121","32","14","2","11","34","48","37","245"
"377","Santambrogio P.","R. SARONNO","SAR","9","1","1","0","0","1","0","","","","","","","","","","","1","","","","1","1",""
"378","Sartora M.","V. LUMEZZANE","LUM","28","27","498","174","46","88","52","14","51","27","40","63","63","98","56","154","21","17","7","","21","44","39","231"
"379","Saturnino R.","CERNUSCO (*)","CEN (*)","13","5","27","6","3","4","75","0","3","0","","","","1","1","2","2","","","","","2","",""
"380","Savini N.","O. PAVIA (*)","PVO (*)","5","3","7","3","","","","1","1","100","","","","1","","1","","","","","","1","","3"
"381","Scekic N.","MANERBIO","MAN","30","30","661","252","56","119","47","33","110","30","41","57","72","97","20","117","52","15","4","2","20","70","61","185"
"382","Scekic N.","MANERBIO","MAN","9","9","182","69","16","29","55","9","23","39","10","13","77","23","9","32","22","4","1","","7","25","15","49"
"383","Semplici A.","LISSONE (*)","LIS (*)","18","16","143","41","2","8","25","12","30","40","1","2","50","12","2","14","6","6","","","8","19","2","21"
"384","Severgnini S.","PIZZIGHETTONE","PIZ","27","27","518","147","47","103","46","12","52","23","17","39","44","68","33","101","36","10","4","14","15","71","39","97"
"385","Siccardo F.","CERNUSCO (*)","CEN (*)","8","5","88","21","7","12","58","2","5","40","1","2","50","8","5","13","8","6","","","12","9","4","30"
"386","Sifford T.","PAVIA B.","PVB","14","14","330","105","43","84","51","1","17","6","16","51","31","107","32","139","27","32","5","6","22","39","39","180"
"387","Sirtori E.","CERNUSCO (*)","CEN (*)","27","25","514","204","90","206","44","0","3","0","24","51","47","96","62","158","49","20","9","7","21","82","47","171"
